,index,r,l,t
446,446,51.802358,21,89.96767401695251
447,447,47.189338,18,90.13198900222778
448,448,50.2089,19,90.30550789833069
449,449,51.264967,21,90.50061106681824
450,450,43.187234000000004,16,90.66349196434021
451,451,54.749804000000005,22,90.86287307739258
452,452,49.030111,20,91.05216908454895
453,453,44.41035,16,91.22904896736145
454,454,48.769952,19,91.41173005104065
455,455,48.120111,19,91.57608795166016
456,456,49.030111,20,91.75329089164734
457,457,42.432047,15,91.90792393684387
458,458,48.099338,19,92.11611294746399
459,459,49.030111,20,92.35857391357422
460,460,47.189338,18,93.97274088859558
461,461,49.030111,20,94.17379093170166
462,462,51.441891,21,94.3874990940094
463,463,41.371357,15,94.55461692810059
464,464,52.125215999999995,21,94.75166702270508
465,465,47.052225,17,94.92384696006775
466,466,50.064415999999994,19,95.11042594909668
467,467,49.030111,20,95.299320936203
468,468,47.189338,18,95.47170805931091
469,469,45.966967,17,95.62705898284912
470,470,48.120111,19,95.81341195106506
471,471,50.961894,19,96.00156903266907
472,472,56.977848,21,96.19774794578552
473,473,44.580554,16,96.35792899131775
474,474,46.292640999999996,18,96.52686810493469
475,475,49.030111,20,96.70519304275513
476,476,42.748096000000004,15,96.8437991142273
477,477,52.838921,21,97.03869891166687
478,478,42.748096000000004,15,97.17572498321533
479,479,51.233244,18,97.34760403633118
480,480,46.857331,17,97.50631999969482
481,481,44.85176,16,97.6778519153595
482,482,48.696688,19,97.85746097564697
483,483,49.030111,20,98.03633189201355
484,484,48.120111,19,98.20843601226807
485,485,49.030111,20,98.38682794570923
486,486,49.030111,20,98.57338809967041
487,487,54.994475,22,98.78225493431091
488,488,53.594460999999995,20,98.96734094619751
489,489,58.97681,22,99.16839408874512
490,490,47.189338,18,99.32528805732727
491,491,49.030111,20,99.50047206878662
492,492,54.498430000000006,22,99.70567607879639
493,493,44.478578999999996,16,99.85110902786255
494,494,49.030111,20,100.03096508979797
495,495,49.030111,20,100.20765399932861
496,496,44.478578999999996,16,100.35084104537964
497,497,49.758990999999995,19,100.53440499305725
498,498,44.478578999999996,16,100.67743802070618
499,499,51.282758,21,100.87772011756897
500,500,45.966967,17,101.02818202972412
501,501,53.936871,22,101.23627495765686
502,502,49.030111,20,101.41263699531555
503,503,49.030111,20,101.5909309387207
504,504,49.030111,20,101.76906204223633
505,505,50.419387,20,101.95102310180664
506,506,49.030111,20,102.13089489936829
507,507,51.483889000000005,21,102.3402988910675
508,508,49.030111,20,102.51782488822937
509,509,49.863858,19,102.69309711456299
510,510,52.340458,20,102.8754780292511
511,511,49.030111,20,103.09049892425537
512,512,51.747308000000004,21,103.34354305267334
513,513,49.030111,20,103.56260299682617
514,514,47.189338,18,105.20000910758972
515,515,51.131598,18,105.37429690361023
516,516,51.709947,21,105.57700300216675
517,517,54.0659,22,105.77999496459961
518,518,49.030111,20,105.96198892593384
519,519,44.280229999999996,16,106.14054489135742
520,520,44.478578999999996,16,106.28933310508728
521,521,46.585544,18,106.482656955719
522,522,51.782222999999995,20,106.67402410507202
523,523,49.476759,19,106.85519909858704
524,524,52.092824,21,107.05897688865662
525,525,52.425187,21,107.26632905006409
526,526,49.030111,20,107.44910597801208
527,527,44.982893,17,107.63528203964233
528,528,47.924221,18,107.80786204338074
529,529,46.521952,17,107.9700539112091
530,530,49.030111,20,108.13294506072998
531,531,56.840509999999995,22,108.32117199897766
532,532,49.030111,20,108.49372506141663
533,533,44.478578999999996,16,108.63787388801575
534,534,49.030111,20,108.8132119178772
535,535,44.2705,16,108.97503399848938
536,536,59.743371999999994,24,109.19419407844543
537,537,46.680494,17,109.35371994972229
538,538,50.321219,20,109.54132199287415
539,539,44.466327,16,109.71664190292358
540,540,45.966967,17,109.87142896652222
541,541,50.856953000000004,19,110.04760193824768
542,542,49.030111,20,110.2310380935669
543,543,54.60226,22,110.4431300163269
544,544,52.974771999999994,21,110.64767098426819
545,545,51.329545,18,110.80523800849915
546,546,49.348521000000005,19,110.97256994247437
547,547,49.030111,20,111.14527106285095
548,548,49.947542,20,111.33661890029907
549,549,49.030111,20,111.518306016922
550,550,45.966967,17,111.67467093467712
551,551,45.966967,17,111.83128905296326
552,552,49.701014,19,112.00802898406982
553,553,45.966967,17,112.1736090183258
554,554,47.189338,18,112.35173392295837
555,555,49.243081,19,112.55835509300232
556,556,52.679078000000004,21,112.7778000831604
557,557,44.507462,17,112.97005009651184
558,558,50.067562,20,113.16372895240784
559,559,53.818205000000006,22,113.37083101272583
560,560,48.144488,18,113.54492998123169
561,561,49.030111,20,113.72864699363708
562,562,49.030111,20,113.90862107276917
563,563,49.030111,20,114.10525298118591
564,564,49.21071,18,114.31865692138672
565,565,49.030111,20,114.5379490852356
566,566,53.275544999999994,19,114.75015211105347
567,567,54.418183,20,116.40233302116394
568,568,49.030111,20,116.58696508407593
569,569,49.030111,20,116.76902794837952
570,570,50.460877,20,116.97057509422302
571,571,48.099338,19,117.15275311470032
572,572,44.478578999999996,16,117.29194808006287
573,573,43.822055,16,117.44060707092285
574,574,47.794369,18,117.61232495307922
575,575,49.253046999999995,18,117.77718806266785
576,576,49.030111,20,117.96972608566284
577,577,60.691916000000006,24,118.20182299613953
578,578,51.094914,21,118.40893507003784
579,579,49.030111,20,118.5872130393982
580,580,49.284332,20,118.77832889556885
581,581,44.478578999999996,16,118.93006300926208
582,582,50.266658,20,119.11339211463928
583,583,49.030111,20,119.29447197914124
584,584,49.660371000000005,19,119.4808189868927
585,585,49.916246,20,119.6705060005188
586,586,50.141619,20,119.85722303390503
587,587,49.030111,20,120.03368806838989
588,588,46.567353999999995,18,120.22671008110046
589,589,52.13832,21,120.42395806312561
590,590,49.030111,20,120.60362005233765
591,591,49.030111,20,120.7783670425415
592,592,46.74581,17,120.9291250705719
593,593,49.695103,19,121.11692309379578
594,594,49.030111,20,121.29728603363037
595,595,52.631471,21,121.48961091041565
596,596,51.045055,21,121.6831169128418
597,597,50.241038,20,121.86703991889954
598,598,49.774749,18,122.03358888626099
599,599,46.008547,17,122.20014905929565
600,600,46.705084,17,122.3932900428772
601,601,48.389463,18,122.55680203437805
602,602,49.028465000000004,20,122.74188303947449
603,603,57.248373,20,122.93843293190002
604,604,49.967031,20,123.14932203292847
605,605,49.030111,20,123.34171509742737
606,606,45.561631,17,123.51152801513672
607,607,49.976194,20,123.69948101043701
608,608,49.030111,20,123.88670992851257
609,609,44.128608,17,124.05641198158264
610,610,49.030111,20,124.2288429737091
611,611,46.382095,18,124.42194700241089
612,612,51.298089000000004,21,124.6182370185852
613,613,49.947525,20,124.80414199829102
614,614,47.189338,18,124.97498297691345
615,615,60.818307999999995,21,125.20405006408691
616,616,53.415507,21,125.43953394889832
617,617,49.030111,20,125.6744589805603
618,618,45.966967,17,125.89725804328918
619,619,71.262763,28,126.27875900268555
620,620,49.510819,20,127.91342091560364
621,621,55.178165,20,128.1071081161499
622,622,50.613841,19,128.2902638912201
623,623,55.042549,21,128.48335790634155
624,624,49.030111,20,128.6583230495453
625,625,51.567457,21,128.85620999336243
626,626,53.202043,21,129.04667806625366
627,627,49.615759999999995,18,129.20764207839966
628,628,46.7968,18,129.3874979019165
629,629,49.993051,20,129.5858519077301
630,630,49.087736,20,129.77716207504272
631,631,51.387231,21,129.98531293869019
632,632,54.92309300000001,22,130.20794200897217
633,633,50.002194,20,130.4147551059723
634,634,53.543721,19,130.59088110923767
635,635,50.276297,20,130.77713990211487
636,636,51.265972999999995,21,130.9962420463562
637,637,53.851725,21,131.18641591072083
638,638,48.015537,18,131.3636920452118
639,639,49.030111,20,131.54177594184875
640,640,44.478578999999996,16,131.68408799171448
641,641,52.255796000000004,20,131.8607940673828
642,642,55.12619,22,132.05664896965027
643,643,50.705783000000004,19,132.23044300079346
644,644,47.533456,17,132.3863570690155
645,645,52.259057,18,132.55015397071838
646,646,48.759444,19,132.74227499961853
647,647,57.402457,22,132.96282410621643
648,648,42.668136,16,133.14045095443726
649,649,49.98213,20,133.33858489990234
650,650,50.135406,20,133.54069304466248
651,651,49.030111,20,133.73342394828796
652,652,46.833141,18,133.9117419719696
653,653,54.369448999999996,22,134.123841047287
654,654,52.397562,21,134.31370997428894
655,655,47.396824,18,134.4799520969391
656,656,51.378643,21,134.67424988746643
657,657,43.485337,16,134.8381690979004
658,658,49.030111,20,135.01470589637756
659,659,51.271341,19,135.1869649887085
660,660,49.030111,20,135.36426091194153
661,661,51.615590999999995,18,135.52581691741943
662,662,54.413731000000006,22,135.720232963562
663,663,50.427847,20,135.8961091041565
664,664,50.940267999999996,20,136.07690811157227
665,665,49.941843,20,136.2672140598297
666,666,53.124741,21,136.4820818901062
667,667,49.030111,20,136.69611811637878
668,668,46.732673,17,136.89405989646912
669,669,49.030111,20,137.13607501983643
670,670,45.966967,17,137.3419749736786
671,671,51.470449,20,137.59436297416687
672,672,51.227444,19,139.14977598190308
673,673,50.02802,20,139.34846806526184
674,674,60.348367,23,139.56185388565063
675,675,44.551957,16,139.70829606056213
676,676,49.315284000000005,19,139.90160393714905
677,677,49.222049,20,140.08076095581055
678,678,44.722958,17,140.26473188400269
679,679,50.123869,20,140.44800806045532
680,680,58.154686,23,140.6651439666748
681,681,50.859792999999996,20,140.85175704956055
682,682,49.806427,20,141.06223797798157
683,683,54.876946,22,141.26784992218018
684,684,50.419088,20,141.47106790542603
685,685,54.84319300000001,22,141.69700503349304
686,686,49.701026,20,141.917897939682
687,687,45.806055,17,142.10473203659058
688,688,47.068532,18,142.30322194099426
689,689,49.435874,20,142.51702189445496
690,690,52.728255000000004,21,142.72714400291443
691,691,45.830232,17,142.88874292373657
692,692,51.07573,20,143.0727379322052
693,693,53.867125,22,143.27748608589172
694,694,51.274436,21,143.4741768836975
695,695,52.555418,19,143.64765906333923
696,696,43.528002,16,143.8280909061432
697,697,49.878275,20,144.02201795578003
698,698,49.030111,20,144.20969700813293
699,699,56.413626,23,144.41819500923157
700,700,59.220048999999996,22,144.63876700401306
701,701,51.843365000000006,21,144.84076404571533
702,702,50.512308000000004,19,145.05497407913208
703,703,41.865596999999994,15,145.22933292388916
704,704,43.226067,16,145.38804507255554
705,705,49.030111,20,145.5687301158905
706,706,49.030111,20,145.74971890449524
707,707,48.171109,19,145.9533519744873
